Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Ronna Nellies,12/21/2013,12/21/2022,December,Wednesday,9
Rusty Andriulis,7/21/2012,7/21/2022,July,Thursday,12
Roberta Oakeshott,12/4/2011,12/4/2022,December,Friday,45
Lola Rubinfajn,6/29/2012,6/29/2022,June,Wednesday,15
Kamila Benedtti,7/10/2012,7/10/2022,July,Friday,49
Avery Colebourn,8/30/2012,8/30/2022,August,Tuesday,15
Valentino Klimko,12/23/2014,12/23/2022,December,Friday,45
Cal Shearwood,1/18/2015,1/18/2022,January,Tuesday,12
King Truswell,9/14/2012,9/14/2022,September,Wednesday,7
Towney Stichall,6/4/2015,6/4/2022,June,Friday,30
Aubrette Mc Dermid,10/9/2012,10/9/2022,October,Friday,32
Adah Chatres,12/27/2012,12/27/2022,December,Tuesday,8
Benedikt Titterton,1/10/2014,1/10/2022,January,Monday,14
Rosina Harberer,12/23/2012,12/23/2022,December,Friday,45
Panchito Filinkov,6/9/2013,6/9/2022,June,Thursday,12
Samara Strike,6/26/2013,6/26/2022,June,Friday,30
Joane McCormack,4/17/2012,4/17/2022,April,Friday,55
Griffie Sitlinton,3/24/2014,3/24/2022,March,Thursday,19
Gilberta Silversmidt,9/8/2014,9/8/2022,September,Thursday,14
Marjie Matkovic,12/4/2011,12/4/2022,December,Friday,45
Uri Cowterd,12/12/2011,12/12/2022,December,Monday,20
Korella Mattisson,4/3/2015,4/3/2022,April,Friday,55
Findlay Schonfelder,1/19/2014,1/19/2022,January,Wednesday,14
Jaquelyn Jantzen,10/20/2012,10/20/2022,October,Thursday,14
Davina Gradwell,11/7/2011,11/7/2022,November,Monday,11
Nicolea Selby,4/4/2014,4/4/2022,April,Monday,10
Moselle Alelsandrovich,12/22/2012,12/22/2022,December,Thursday,20
Honey Nieass,11/23/2014,11/23/2022,November,Wednesday,17
Akim Godfroy,9/30/2012,9/30/2022,September,Friday,36
Karole Floch,11/6/2012,11/6/2022,November,Friday,39
Nata Feldbaum,5/7/2015,5/7/2022,May,Friday,31
Jaquelin Antonucci,5/3/2012,5/3/2022,May,Tuesday,15
Candra Hallums,8/11/2014,8/11/2022,August,Thursday,10
Den Masters,10/3/2014,10/3/2022,October,Monday,14
Janifer Marris,5/21/2012,5/21/2022,May,Friday,31
Carolus Bremmer,9/15/2011,9/15/2022,September,Thursday,14
Casey Addicote,9/25/2014,9/25/2022,September,Friday,36
Brigida De Ath,8/7/2014,8/7/2022,August,Friday,24
Kimberli Severs,9/19/2011,9/19/2022,September,Monday,7
Maribeth Blumson,8/27/2014,8/27/2022,August,Friday,24
Arabele Rosenauer,10/26/2012,10/26/2022,October,Wednesday,13
Madison Cominetti,7/17/2014,7/17/2022,July,Friday,49
Verina Knoton,4/4/2014,4/4/2022,April,Monday,10
Wolfgang Clubbe,4/20/2014,4/20/2022,April,Wednesday,12
Davin Mazdon,7/10/2015,7/10/2022,July,Friday,49
Constantina McIlwaine,8/26/2014,8/26/2022,August,Friday,24
Sayre Merredy,10/24/2014,10/24/2022,October,Monday,14
Rodrick Jeannot,10/19/2013,10/19/2022,October,Wednesday,13
Kain Guerre,8/10/2015,8/10/2022,August,Wednesday,10
Blinni Fieldstone,11/17/2013,11/17/2022,November,Thursday,13
Annabell Goscomb,11/10/2013,11/10/2022,November,Thursday,13
Clayborn Benazet,11/21/2014,11/21/2022,November,Monday,11
Mahala Henze,9/15/2014,9/15/2022,September,Thursday,14
Lanette Berzen,11/18/2011,11/18/2022,November,Friday,39
Keefer Ruckhard,4/2/2013,4/2/2022,April,Friday,55
Merrili Truelock,11/27/2013,11/27/2022,November,Friday,39
Joete Goutcher,1/6/2015,1/6/2022,January,Thursday,6
Miguelita Palfreman,2/17/2012,2/17/2022,February,Thursday,12
Ossie Mattes,5/15/2012,5/15/2022,May,Friday,31
Bear Vernay,5/21/2014,5/21/2022,May,Friday,31
Teodor Wragge,8/14/2015,8/14/2022,August,Friday,24
Daisie Whitelaw,1/17/2014,1/17/2022,January,Monday,14
Emlynne Littley,2/5/2015,2/5/2022,February,Friday,31
Britni Walsh,7/12/2012,7/12/2022,July,Tuesday,12
Marys Inseal,11/16/2012,11/16/2022,November,Wednesday,17
Paxton Massow,2/11/2014,2/11/2022,February,Friday,31
Kerby Scain,10/30/2012,10/30/2022,October,Friday,32
Johnathan Lamplough,9/25/2013,9/25/2022,September,Friday,36
Jeni Donald,6/7/2013,6/7/2022,June,Tuesday,11
Sylvia Abrahamsohn,11/15/2012,11/15/2022,November,Tuesday,12
Cinnamon Stoyle,1/16/2012,1/16/2022,January,Friday,33
Issi Amey,10/20/2012,10/20/2022,October,Thursday,14
Brion Letson,12/7/2012,12/7/2022,December,Wednesday,9
Nappie Sire,11/10/2011,11/10/2022,November,Thursday,13
Pattie Chapelle,12/19/2011,12/19/2022,December,Monday,20
Brynna Armit,8/12/2012,8/12/2022,August,Friday,24
Gauthier Bruinsma,9/23/2013,9/23/2022,September,Friday,36
Pren Gudgeon,9/24/2013,9/24/2022,September,Friday,36
Wyn Husthwaite,5/11/2014,5/11/2022,May,Wednesday,8
Allianora Padrick,12/7/2011,12/7/2022,December,Wednesday,9
Malena Bennough,4/20/2013,4/20/2022,April,Wednesday,12
Jarret Winscom,3/5/2013,3/5/2022,March,Friday,31
Ree Salmen,11/14/2013,11/14/2022,November,Monday,11
Hope Dommerque,9/13/2014,9/13/2022,September,Tuesday,12
Guillermo Trowle,6/24/2013,6/24/2022,June,Friday,30
Tibold Cottingham,9/3/2013,9/3/2022,September,Friday,36
Cecilia Poxton,12/20/2013,12/20/2022,December,Tuesday,8
Arri Sleney,11/23/2013,11/23/2022,November,Wednesday,17
Regina Isenor,10/16/2011,10/16/2022,October,Friday,32
Annalise Roll,7/4/2012,7/4/2022,July,Monday,11
Othello Blyth,7/19/2014,7/19/2022,July,Tuesday,12
Ave Heyball,5/1/2012,5/1/2022,May,Friday,31
Friederike Civitillo,6/24/2015,6/24/2022,June,Friday,30
Hayley Rizzini,4/26/2014,4/26/2022,April,Tuesday,4
Blakelee Monery,12/4/2013,12/4/2022,December,Friday,45
Jacenta Cowton,6/18/2013,6/18/2022,June,Friday,30
Karlyn Westmoreland,6/10/2015,6/10/2022,June,Friday,30
Yancey Bachellier,2/1/2015,2/1/2022,February,Tuesday,13
Nerte Lissandrini,12/9/2011,12/9/2022,December,Friday,45
Dorolice Crosthwaite,1/6/2015,1/6/2022,January,Thursday,6
Brantley Thorley,3/2/2012,3/2/2022,March,Wednesday,6
Robin Cypler,1/31/2015,1/31/2022,January,Monday,14
Phillie Allsepp,6/29/2012,6/29/2022,June,Wednesday,15
Toddie Artz,7/9/2013,7/9/2022,July,Friday,49
Marje Antoshin,12/26/2014,12/26/2022,December,Monday,20
Rochella Blazdell,3/31/2015,3/31/2022,March,Thursday,19
Aryn Thursfield,2/25/2015,2/25/2022,February,Friday,31
Isaiah Antowski,1/12/2014,1/12/2022,January,Wednesday,14
Helli Owbridge,8/5/2014,8/5/2022,August,Friday,24
Hadrian Scourgie,3/20/2012,3/20/2022,March,Friday,31
Toddie Nanetti,10/4/2013,10/4/2022,October,Tuesday,9
Inger Sugar,11/25/2011,11/25/2022,November,Friday,39
Lezlie Meyer,3/19/2015,3/19/2022,March,Friday,31
Rowland Krinks,12/22/2014,12/22/2022,December,Thursday,20
Fair Baumber,9/13/2011,9/13/2022,September,Tuesday,12
Ekaterina Graver,10/17/2013,10/17/2022,October,Monday,14
Farris Spear,3/3/2014,3/3/2022,March,Thursday,19
Shanie Croisier,2/9/2014,2/9/2022,February,Wednesday,8
Fredric Skerme,3/12/2012,3/12/2022,March,Friday,31
Christoph Udall,10/15/2011,10/15/2022,October,Friday,32
Jared Koba,1/15/2012,1/15/2022,January,Friday,33
